playlistID,playlistName,numTracks
4j7KIy21ELb1KGmUlC7e0F,shambles,100
2XiP3uZsKHrSHkTHgv3mCZ,i hate u? i love u?,22
37i9dQZF1EUMDoJuT8yJsl,Your Top Songs 2021,100
2PNX5RUKJ2D8X46QbnHt4s,😅✌🏽,28
5CgydLDCC0IWWzXT3iHsUu,sonically pink,26
37i9dQZF1DWVV27DiNWxkR,Sad Indie,99
37i9dQZF1DX0x36cwEyOTG,Peaceful Indie Ambient,100
7bXzIXuxZtVTwd28IeJQdd,i need a forest fire,25
3Tpu1N4EaymmXwyOcnWRkf,it’s sunday and i love you ,100
1tFItWWH1RkvkCmlHLsdSp,studying,100
5jXYK2VtAIoGlRrBs9L7sh,My Playlist #304,15
7oWaWbw1OICBVEwCqWflDU,last night i dreamt we did our laundry together,74
6WwlJbIRfHY039jB4CnM5s,The Needle / Egypt - Underground,100
39pPZxhKAmeSeWNiiis1bp,Heartsick,6
0p2g3fdwohoJqKufNICamU,magic,13
5BtEMeBW4PhfcjQqfrZ0ke,NOV 21,59
16pZhPI0hRi3Ndzaskvav7,moon girl,100
5w7N0sDkrcRunzXbuUHSHt,luv at 1st sight,61
15mbFrn3r0FJWwAlqg6Ewm,aaaaaaahahaahAAAHAHHAHHAHHAHFUCKFUCKFUCKFUCKFUCKFUCKFUCKFUCKFUCKFUCKFUCKFUCK,4
0gDJLD0OsU2sVAwKRYWWFk,floating on a star,13
0E7Ry8TPmXg9lxukDPcQoT,fiber one,17
